Temperature,PID_Error,PID_p,PID_i,PID_d,PID_value,Output_PWM
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.00 ,12,72,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
33.10 ,12,71,0,0,0,20
